,skill,count
0,architecture,123
1,database,483
2,intelligence,99
3,data,5408
4,visualization,129
5,microsoft,186
6,digital,110
7,platforms,183
8,reporting,532
9,web,106
10,clear,63
11,communication,704
12,skills,1666
13,models,339
14,strategy,156
15,advanced,345
16,analytics,614
17,engagements,29
18,documentation,296
19,framework,33
20,project,582
21,interpret,59
22,leadership,227
23,modeling,188
24,other,1422
25,fraud,24
26,health,391
27,python,307
28,ecosystem,21
29,hadoop,32
30,debugging,16
31,transformation,24
32,record,103
33,collaboration,154
34,agile,221
35,contribute,84
36,algorithms,116
37,underwriting,16
38,ad-hoc,131
39,learning,539
40,completion,184
41,mathematics,33
42,cas,3
43,c,13
44,insurance,92
45,office,259
46,management,1032
47,training,377
48,family,17
49,options,52
50,workplace,19
51,compensation,25
52,pension,57
53,fitness,12
54,organization,246
55,technology,534
56,boundaries,3
57,offers,18
58,projects,712
59,range,59
60,actuaries,4
61,datasets,78
62,merge,3
63,code,160
64,indicators,17
65,informatics,10
66,statistics,67
67,design,650
68,mining,59
69,segmentation,11
70,customer,480
71,research,608
72,writing,210
73,languages,229
74,one,166
75,software,839
76,sql,797
77,dashboards,159
78,tableau,244
79,troubleshooting,252
80,apache,20
81,spark,44
82,french,28
83,conducting,49
84,metrics,87
85,etl,107
86,pandas,100
87,basic,58
88,classification,6
89,context,17
90,git,22
91,investments,4
92,teams,647
93,trading,13
94,databases,167
95,presentations,67
96,it,457
97,confidentiality,13
98,gatekeeper,1
99,security,112
100,hive,24
101,concepts,120
102,retail,43
103,focus,111
104,components,56
105,enterprise,253
106,player,55
107,discount,7
108,ownership,35
109,assessment,143
110,schedules,20
111,scheduling,21
112,visit,1
113,ecrf,1
114,protocol,72
115,processing,224
116,administrative,50
117,ethics,13
118,trials,19
119,ccrp,1
120,pressure,63
121,phlebotomy,3
122,venipuncture,1
123,iata,1
124,shipping,13
125,operations,368
126,timelines,138
127,availability,135
128,cloud,294
129,premises,101
130,proof,109
131,developers,132
132,engineers,146
133,building,302
134,olap,103
135,foundations,8
136,general,61
137,go,133
138,conferences,7
139,publishing,16
140,edge,13
141,incentives,3
142,stem,17
143,nosql,28
144,c++,25
145,scripting,73
146,unix,7
147,optimization,68
148,principles,272
149,drive,157
150,massive,9
151,store,16
152,computing,70
153,testing,383
154,application,206
155,acceleration,3
156,case,119
157,infrastructure,310
158,normalization,3
159,maintenance,391
160,preparation,262
161,revenue,28
162,valuation,13
163,scenario,5
164,output,13
165,sas,40
166,aml,2
167,credit,66
168,telecommunications,9
169,utilities,13
170,physics,10
171,contractors,6
172,validation,282
173,deviations,16
174,auditing,8
175,compounding,1
176,validity,3
177,access,90
178,netsuite,101
179,inform,45
180,regulations,203
181,integration,243
182,structures,65
183,prime,18
184,readiness,23
185,sustainment,14
186,vendors,55
187,prototype,23
188,aws,81
189,forecasting,25
190,excel,225
191,powerpoint,49
192,coaching,52
193,performing,41
194,piloting,2
195,evolution,10
196,benchmarking,10
197,conflict,27
198,bioequivalence,44
199,directives,50
200,clinic,52
201,initiation,51
202,healthcare,73
203,multitasking,45
204,automotive,104
205,bonus,138
206,efficacy,100
207,calibration,111
208,manufacturing,149
209,chemistry,214
210,dissolution,100
211,instrumentation,117
212,risk,252
213,conductivity,6
214,uv,3
215,reagents,7
216,records,72
217,micropipette,3
218,instructions,10
219,pipelines,145
220,mysql,10
221,workbench,1
222,interpreting,18
223,reliability,24
224,window,3
225,command,20
226,google,162
227,omniture,1
228,css,13
229,html,9
230,teaching,18
231,tags,1
232,logging,2
233,fundamentals,39
234,devops,25
235,javascript,18
236,online,51
237,addition,18
238,bayesian,5
239,urgency,9
240,waiting,6
241,snacks,29
242,coffee,12
243,desserts,4
244,lunch,20
245,ping,15
246,estimates,17
247,r,52
248,bus,3
249,prototyping,5
250,deliverables,76
251,mandates,2
252,developments,25
253,groups,49
254,nlp,18
255,salary,38
256,draft,7
257,procurement,15
258,relief,2
259,editing,14
260,passenger,2
261,accessibility,10
262,barriers,7
263,commitments,8
264,disabilities,5
265,discrimination,3
266,rights,11
267,calculations,12
268,compilation,7
269,measures,24
270,briefing,9
271,word,35
272,economics,13
273,calculus,4
274,vectors,1
275,biology,7
276,load,26
277,pipeline,33
278,resolve,108
279,specifications,65
280,steps,12
281,happiness,5
282,balance,37
283,disinfection,1
284,fit,9
285,leaf,1
286,maple,2
287,alteryx,2
288,plus,95
289,moneris,2
290,elements,21
291,materials,90
292,infographics,1
293,creativity,16
294,linguistics,1
295,reinforcement,9
296,mrc,1
297,ideal,12
298,prediction,3
299,video,15
300,ml,31
301,probability,8
302,java,56
303,accountability,25
304,form,24
305,numbers,5
306,sap,64
307,packaging,16
308,disposal,4
309,glassware,6
310,waste,6
311,features,139
312,communications,169
313,concrete,97
314,space,19
315,cluster,5
316,reviews,52
317,translation,12
318,investment,29
319,engage,47
320,construction,18
321,cfr,2
322,tpd,1
323,physiology,1
324,rehabilitation,4
325,partnerships,14
326,travel,91
327,events,68
328,symposia,1
329,purchasing,8
330,horses,1
331,prospect,4
332,base,37
333,diplomacy,6
334,teamwork,20
335,decision-making,17
336,resume,11
337,credentials,5
338,consideration,6
339,onboarding,14
340,volatility,1
341,yield,2
342,c#,17
343,derivatives,2
344,map,15
345,scrum,24
346,games,14
347,outings,9
348,foundation,17
349,dashboard,21
350,mobile,32
351,app,11
352,interview,11
353,committees,8
354,adobe,36
355,survey,22
356,medicine,9
357,oats,2
358,solver,11
359,capital,38
360,finance,47
361,energy,33
362,frame,1
363,deals,3
364,econometrics,1
365,mentoring,42
366,campus,6
367,sustainability,16
368,qlik,4
369,oversight,22
370,road,8
371,capture,23
372,pattern,12
373,government,38
374,paper,2
375,figures,7
376,payments,11
377,award,17
378,confirmation,4
379,public,80
380,premier,2
381,au,8
382,programmes,2
383,english,47
384,excess,2
385,passport,3
386,suppliers,19
387,status,55
388,suite,47
389,screening,14
390,synthesis,12
391,kanban,5
392,matrix,17
393,iterative,6
394,reach,11
395,scientists,38
396,turn,6
397,programmers,7
398,liaison,22
399,matching,24
400,email,20
401,filing,9
402,self-management,1
403,expenses,5
404,trace,2
405,technologists,5
406,eligibility,13
407,internet,15
408,bending,1
409,devices,18
410,checks,17
411,tso,3
412,hiring,10
413,pay,10
414,union,10
415,recruiting,7
416,oncology,9
417,literature,15
418,summaries,14
419,tone,3
420,biochemistry,6
421,molecular,6
422,guides,3
423,shape,18
424,signal,6
425,storytelling,6
426,abatement,2
427,legislation,13
428,observation,2
429,crystal,4
430,workshops,20
431,visio,9
432,mammalian,1
433,dna,2
434,immunofluorescence,1
435,microscopy,3
436,macintosh,1
437,windows,26
438,biohazard,1
439,chemicals,1
440,provision,8
441,mapreduce,3
442,instructors,2
443,lessons,4
444,transportation,13
445,codes,10
446,adherence,27
447,infection,4
448,prevention,18
449,vs,2
450,gas,2
451,greenhouse,2
452,supply,30
453,voluntary,2
454,cooperative,4
455,ion,1
456,instrumental,6
457,showcase,5
458,functionality,17
459,particular,11
460,money,3
461,cafeteria,3
462,brush,1
463,registration,6
464,typing,4
465,terminology,5
466,cash,17
467,flow,35
468,root,38
469,enrichment,2
470,automation,73
471,consolidation,5
472,interfaces,13
473,draw,13
474,telecom,4
475,drawing,5
476,feeds,3
477,enterpriseone,1
478,hyperion,5
479,cdc,2
480,coolers,1
481,parks,1
482,water,18
483,surveillance,6
484,referrals,5
485,surface,6
486,pest,2
487,gps,1
488,inspectors,1
489,vector,5
490,bacteriology,1
491,collating,3
492,utilization,13
493,print,7
494,publications,12
495,archives,2
496,gis,4
497,grasp,12
498,vulnerability,2
499,acting,9
500,diagrams,5
501,workflow,24
502,dictionaries,4
503,microstrategy,5
504,teradata,4
505,interfacing,2
506,mediums,3
507,playbook,3
508,ae,3
509,entrepreneurs,3
510,intermediate,19
511,iso,15
512,vdi,2
513,lamp,7
514,stack,22
515,schemas,5
516,kafka,13
517,bash,10
518,docker,20
519,virtualization,10
520,snowflake,3
521,live,16
522,mock,2
523,recalls,2
524,gfsi,1
525,solution-oriented,1
526,cpg,3
527,aircraft,2
528,agents,9
529,aerospace,3
530,rest,28
531,membership,27
532,bonuses,14
533,enquiries,3
534,synthesizing,4
535,discretion,7
536,escalation,13
537,outlook,9
538,metadata,16
539,e-commerce,4
540,ota,1
541,downtown,26
542,cart,3
543,subsidies,3
544,showers,3
545,storage,26
546,framing,2
547,gamification,6
548,crm,19
549,dynamics,12
550,scheme,8
551,parking,38
552,gym,23
553,salesforce,16
554,pipes,1
555,wire,1
556,wraps,1
557,pipe,1
558,apparel,3
559,participation,32
560,apps,5
561,clarity,4
562,figma,1
563,ux,9
564,optimizely,1
565,timing,4
566,investigation,20
567,scala,11
568,authorization,3
569,sponsorship,14
570,photoshop,5
571,layout,4
572,step,4
573,universities,2
574,fleet,2
575,outdoors,2
576,weather,3
577,embedded,16
578,firmware,8
579,standards-based,2
580,gnu,4
581,linux,29
582,eclipse,3
583,systemverilog,2
584,chinese,5
585,mandarin,5
586,cleansing,21
587,bridge,6
588,gap,10
589,story,4
590,adoption,24
591,express,5
592,saas,21
593,keras,3
594,psychology,5
595,productivity,17
596,netezza,4
597,itil,11
598,servicenow,8
599,epic,6
600,conventions,4
601,writers,1
602,willow,1
603,probe,3
604,builders,4
605,fusion,2
606,pdf,6
607,politics,4
608,steering,5
609,intellectual,5
610,sqoop,2
611,wealth,11
612,ibm,16
613,search,14
614,qlikview,2
615,taxonomy,2
616,scratch,3
617,spotfire,2
618,facilitation,13
619,jira,11
620,transparency,8
621,psm,1
622,bioinformatics,5
623,postgresql,12
624,manuals,6
625,payroll,8
626,deliveries,7
627,mail,7
628,designation,32
629,lake,8
630,azure,32
631,signs,1
632,start-ups,1
633,mrm,8
634,sourcing,4
635,connect,16
636,articulate,23
637,writer,1
638,statistica,1
639,notes,8
640,institutional,8
641,sampling,11
642,cooperation,4
643,personalization,4
644,elasticsearch,4
645,factoring,1
646,mechanisms,6
647,cadence,4
648,looker,3
649,node.js,7
650,negotiation,16
651,polymers,1
652,bioplastics,4
653,purification,7
654,polymer,3
655,biomass,1
656,characterization,10
657,tga,3
658,modifications,13
659,captivate,1
660,viability,6
661,running,16
662,protection,26
663,signing,5
664,fostering,11
665,coe,1
666,landscape,7
667,socio-economic,1
668,routing,7
669,switching,3
670,wireless,9
671,ecommerce,13
672,banners,4
673,cisco,16
674,fortinet,3
675,riverbed,2
676,ssl,2
677,shopping,1
678,voip,2
679,controllers,1
680,solarwinds,2
681,macro,2
682,investors,2
683,spectrum,5
684,oracle,39
685,savings,15
686,tuning,20
687,hana,15
688,transformations,3
689,messaging,5
690,rabbitmq,3
691,cloudera,2
692,containerization,4
693,fact,2
694,posture,3
695,cqi,2
696,forms,29
697,offshore,8
698,tibco,3
699,agility,5
700,rollout,4
701,ropes,1
702,xactly,6
703,toolkit,2
704,newsletters,3
705,fruit,4
706,manuscript,3
707,affinity,3
708,suggestions,10
709,realism,2
710,opengl,2
711,closure,5
712,budgeting,16
713,milestones,9
714,demand,15
715,ip,13
716,c-level,4
717,s3,5
718,,9
719,perl,11
720,obiee,2
721,hub,5
722,cubicles,2
723,spaces,5
724,walls,2
725,celebrations,2
726,robotics,4
727,procedural,9
728,timesheet,2
729,listings,6
730,authentication,2
731,wellness,33
732,transformational,4
733,amazon,17
734,unity,1
735,permissions,3
736,affiliates,4
737,convenience,5
738,lcl,5
739,mitigation,4
740,value-added,5
741,ops,7
742,cassandra,4
743,p&c,5
744,promotional,7
745,finish,11
746,seasonal,1
747,collateral,4
748,graphics,5
749,fonts,1
750,directors,2
751,mastery,7
752,pre-press,1
753,printing,2
754,wordpress,2
755,php,3
756,wsib,3
757,angular,6
758,maven,2
759,npm,1
760,mockups,2
761,led,6
762,pages,3
763,urban,2
764,evaluations,2
765,sharepoint,19
766,aoda,1
767,usability,8
768,formulation,5
769,dexterity,1
770,hygiene,2
771,assembly,5
772,forest,1
773,triage,8
774,graphing,2
775,caregivers,1
776,autism,5
777,childhood,2
778,children,6
779,liability,10
780,multi-platform,4
781,github,3
782,floors,6
783,patios,6
784,golf,6
785,foosball,9
786,interoperability,2
787,prompt,4
788,xml,6
789,perseverant,2
790,box,2
791,history,6
792,decks,4
793,cron,2
794,dbt,2
795,b2b,4
796,interventions,4
797,renewals,1
798,stomp,1
799,ee,1
800,articles,3
801,retreats,2
802,ftp,2
803,cards,3
804,disk,4
805,dos,3
806,mac,5
807,film,2
808,television,2
809,slack,3
810,ticketing,4
811,connectivity,6
812,a+,4
813,resolutions,4
814,diagnose,6
815,sequencing,3
816,integrative,1
817,sc,1
818,genomics,1
819,forwards,3
820,rx,3
821,formulary,1
822,climate,2
823,ease,8
824,indeed,2
825,linkedin,5
826,platinum,2
827,shares,3
828,studio,10
829,typescript,3
830,blueprint,2
831,cubes,1
832,esb,1
833,event-driven,3
834,bitbucket,3
835,campaigns,12
836,spa,9
837,client-focused,3
838,mongodb,4
839,cs,6
840,kubernetes,12
841,foot,2
842,relocation,2
843,wired,2
844,glass,2
845,spss,5
846,craft,7
847,forefront,4
848,airflow,5
849,astm,2
850,scipy,2
851,rtc,1
852,ged,2
853,openness,3
854,adjustments,7
855,agenda,4
856,extensions,2
857,sdtm,12
858,biostatistics,3
859,ema,2
860,journals,1
861,literacy,3
862,winforms,1
863,telerik,1
864,scalability,15
865,speech,15
866,veeva,1
867,launches,6
868,contingency,5
869,branding,2
870,star,5
871,closures,2
872,art,5
873,tax,9
874,export,2
875,shopify,2
876,docs,1
877,rally,2
878,autodesk,1
879,pick,6
880,tech-savvy,1
881,testability,2
882,combinatorics,1
883,adaptation,1
884,mechatronics,2
885,shock,2
886,suspension,6
887,revisions,4
888,commissioning,5
889,sensors,2
890,labview,2
891,cad,3
892,circuits,3
893,mechanics,3
894,binders,1
895,checklists,1
896,requisitions,3
897,paperwork,4
898,gmp,14
899,chromatography,1
900,electrophoresis,1
901,weightlifting,1
902,mesh,2
903,coordinators,2
904,glm,1
905,delegation,2
906,consultation,10
907,perspectives,6
908,api,24
909,isolation,3
910,cabling,1
911,peripherals,3
912,suitability,5
913,less,6
914,openstack,1
915,openshift,1
916,cucumber,1
917,tweaking,1
918,cli,1
919,default,1
920,xslt,1
921,automata,1
922,relevance,4
923,microservices,7
924,modernization,1
925,architects,9
926,refactoring,3
927,transactional,8
928,maintainability,3
929,json,6
930,microbiology,4
931,contamination,1
932,productization,5
933,meditation,2
934,yoga,9
935,opencv,2
936,ruby,3
937,groovy,2
